name;stable_occurrence
ligand336-0;XIZDUI-subgraph-2
ligand337-0;JETXEP-subgraph-1
ligand338-0;LEHZED-subgraph-4
ligand339-0;VEVXIH-subgraph-0
ligand340-0;XOBTAK-subgraph-0
ligand341-0;POYCIS-subgraph-0
ligand342-0;EJUWUC-subgraph-1
ligand343-0;BIRLIX-subgraph-0
ligand344-0;TCEPPT-subgraph-5
ligand345-0;WECHAQ-subgraph-2
ligand346-0;YEFDAO-subgraph-0
ligand347-0;MUVDAI-subgraph-2
ligand348-0;VUMHIU-subgraph-3
ligand349-0;VOJMIR-subgraph-0
ligand350-0;YOKWIH-subgraph-1
ligand351-0;SOCQIK-subgraph-1
ligand352-0;SUKHEO-subgraph-1
ligand353-0;XEBGOD-subgraph-5
ligand354-0;KUPDUW-subgraph-1
ligand355-0;KAFGEE-subgraph-2
ligand356-0;PUCXUI-subgraph-0
ligand357-0;PUNTEA-subgraph-3
ligand358-0;SURDOB-subgraph-3
ligand359-0;LITRIR-subgraph-0
ligand360-0;DITWEL-subgraph-0
ligand361-0;BOKPOI-subgraph-0
ligand362-0;KAYPIL-subgraph-2
ligand363-0;NOCFOE-subgraph-1
ligand364-0;DIBJUT-subgraph-3
ligand365-0;QIDNOH-subgraph-0
ligand366-0;GORTAL-subgraph-1
ligand367-0;HUVSAV-subgraph-1
ligand368-0;NOWLIW-subgraph-2
ligand369-0;DEVGOD-subgraph-2
ligand370-0;JEDFII-subgraph-1
ligand371-0;LIJKOE-subgraph-1
ligand372-0;FUDRUS-subgraph-0
ligand373-0;BAMQEM-subgraph-3
ligand374-0;BEPMAL-subgraph-2
ligand375-0;XURGOG-subgraph-0
ligand375-1;XURGOG-subgraph-1
ligand376-0;XUMYAG-subgraph-0
ligand377-0;KEVPEI-subgraph-1
ligand378-0;EYIWUF-subgraph-3
ligand379-0;YIKCUR-subgraph-1
ligand380-0;TOSZOQ-subgraph-1
ligand381-0;SUQPAY-subgraph-0
ligand382-0;AZIKOJ-subgraph-0
ligand383-0;ERABOP-subgraph-0
ligand384-0;VOFQAI-subgraph-3
ligand385-0;OLUMUE-subgraph-1
ligand386-0;ABGTCU-subgraph-1
ligand387-0;YUJKUL-subgraph-4
ligand388-0;XACGEN-subgraph-0
ligand389-0;VOYMEB-subgraph-3
ligand390-0;OVOPEV-subgraph-0
ligand391-0;RAJDUF-subgraph-1
ligand392-0;LELQUS-subgraph-3
ligand393-0;TATRIR-subgraph-1
ligand394-0;SAPHEZ-subgraph-1
ligand395-0;NIHYOV-subgraph-0
ligand396-0;LIJHUH-subgraph-2
ligand397-0;WAPHIG-subgraph-0
ligand398-0;TACGUA-subgraph-0
ligand399-0;KOCYEG-subgraph-1
ligand399-1;WORFUE-subgraph-1
ligand400-0;JOJQUV-subgraph-1
ligand400-1;JEPYAE-subgraph-3
ligand401-0;GAVPAV-subgraph-0
ligand402-0;KURLIT-subgraph-0
ligand403-0;GACCEW-subgraph-1
ligand404-0;KENQUS-subgraph-1
ligand405-0;XUGVUS-subgraph-1
ligand406-0;XEXLIV-subgraph-3
ligand407-0;SIGYAL-subgraph-1
ligand408-0;XIZGOD-subgraph-0
ligand409-0;OMUZEC-subgraph-0
ligand410-0;HAMFOU-subgraph-1
ligand411-0;ICEFAB-subgraph-3
ligand412-0;GIYBUO-subgraph-1
ligand413-0;ZIFPAH-subgraph-0
ligand414-0;NUJCIG-subgraph-0
ligand415-0;IRUMOY-subgraph-1
ligand416-0;DAPKUE-subgraph-0
ligand417-0;MEGKAM-subgraph-1
ligand418-0;KURJIR-subgraph-2
ligand419-0;YOPJES-subgraph-2
ligand420-0;VACTEZ-subgraph-2
ligand421-0;CIXQIJ-subgraph-1
ligand422-0;FEBGOJ-subgraph-2
ligand423-0;XOQTUU-subgraph-0
ligand424-0;CIMLAO-subgraph-2
ligand425-0;MIJJUN-subgraph-0
ligand426-0;KUWHIT-subgraph-3
ligand427-0;BAMQIP-subgraph-2
ligand428-0;NAZMEJ-subgraph-0
ligand429-0;ENEHOX-subgraph-0
ligand430-0;BEDLEC-subgraph-1
ligand431-0;OSEXIV-subgraph-1
ligand432-0;DOMMOH-subgraph-1
ligand433-0;LEXVAM-subgraph-2
ligand434-0;FAJGAA-subgraph-0
ligand435-0;JANLIW-subgraph-1
ligand436-0;PIWZOM-subgraph-2
ligand437-0;HIKTUQ-subgraph-2
ligand438-0;COZBUR-subgraph-0
ligand439-0;FIYQIP-subgraph-0
ligand439-1;FIYQOV-subgraph-0
ligand440-0;NIMWAK-subgraph-3
ligand441-0;HABQAF-subgraph-1
ligand442-0;VIZVOS-subgraph-3
ligand443-0;KOCRIE-subgraph-0
ligand444-0;UZAFIM-subgraph-0
ligand445-0;WIWCEK-subgraph-5
ligand446-0;CIYFIA-subgraph-1
ligand447-0;YOGBEC-subgraph-1
ligand448-0;NAHMUG-subgraph-3
ligand449-0;TEZWAZ-subgraph-1
ligand450-0;NAHMUI-subgraph-1
ligand451-0;ZIQJOC-subgraph-0
ligand452-0;JEQLEA-subgraph-3
ligand453-0;DIRVIN-subgraph-3
ligand454-0;YUBGAD-subgraph-5
ligand455-0;XIWXIN-subgraph-0
ligand456-0;DEQVAX-subgraph-1
ligand457-0;TUDNIR-subgraph-1
ligand458-0;QAPGOG-subgraph-0
ligand459-0;SEZWIF-subgraph-0
ligand460-0;ZINXUR-subgraph-0
ligand461-0;WAHVOU-subgraph-3
ligand462-0;JIJMOH-subgraph-0
ligand463-0;MINXUE-subgraph-1
ligand464-0;NOBCOX-subgraph-3
ligand465-0;DAMFUU-subgraph-1
ligand466-0;BIGYUM-subgraph-3
ligand467-0;WUWGEA-subgraph-2
ligand468-0;DEDPIN-subgraph-1
ligand469-0;FATHAK-subgraph-2
ligand470-0;EQEWOO-subgraph-2
ligand471-0;ZECMUR-subgraph-2
ligand472-0;REBGEK-subgraph-3
ligand473-0;YAJTIM-subgraph-3
ligand474-0;SEPGIG-subgraph-0
ligand475-0;JEGSAP-subgraph-6
ligand476-0;VAJDIX-subgraph-0
ligand477-0;NAHSOG-subgraph-2
ligand478-0;LIXSOA-subgraph-0
ligand479-0;WEBREA-subgraph-0
ligand480-0;JANLIW-subgraph-2
ligand481-0;LERSIK-subgraph-0
ligand482-0;BAWKAN-subgraph-5
ligand483-0;VACXUS-subgraph-5
ligand484-0;SOVDIS-subgraph-0
ligand485-0;KILWEL-subgraph-0
ligand486-0;HAMQOB-subgraph-1
ligand487-0;PIBMUI-subgraph-1
ligand488-0;QIDLUM-subgraph-3
ligand489-0;ICATAH-subgraph-0
ligand490-0;ICATAH-subgraph-1
ligand491-0;RAPWAI-subgraph-2
ligand492-0;SUCFEE-subgraph-1
ligand493-0;HUYVAZ-subgraph-1
ligand494-0;HAGDUO-subgraph-3
ligand495-0;RUWSOR-subgraph-2
ligand496-0;IKOYAJ-subgraph-0
ligand497-0;VABMAP-subgraph-3
ligand498-0;ZELDUR-subgraph-2
ligand499-0;YIKDEC-subgraph-0
ligand500-0;TEDREB-subgraph-0
ligand501-0;LEYLIM-subgraph-1
ligand502-0;PATXAK-subgraph-1
ligand503-0;LICCAB-subgraph-0
ligand504-0;SOYVOT-subgraph-1
ligand505-0;HEHTAP-subgraph-4
ligand506-0;PEBSUN-subgraph-2
ligand507-0;YAMXOA-subgraph-1
ligand508-0;SAJQEA-subgraph-0
ligand509-0;HUCDOZ-subgraph-0
ligand510-0;ZUCHEN-subgraph-0
ligand511-0;CUMZUF-subgraph-0
ligand512-0;WEKBIX-subgraph-1
ligand513-0;KIBNES-subgraph-1
ligand514-0;GUBNOJ-subgraph-1
ligand515-0;ITEGIY-subgraph-1
ligand516-0;KAJBIJ-subgraph-1
ligand517-0;KALGOX-subgraph-0
ligand518-0;TUTMAW-subgraph-2
ligand519-0;PIYTUN-subgraph-0
ligand520-0;ISIXOX-subgraph-0
ligand521-0;AMAVAO-subgraph-1
ligand522-0;DIHBIG-subgraph-3
ligand523-0;TIVZIJ-subgraph-0
ligand524-0;GAGGIE-subgraph-2
ligand525-0;BAFWEO-subgraph-2
ligand526-0;MOFBUH-subgraph-0
ligand527-0;SIMQOU-subgraph-5
ligand528-0;YUJMAT-subgraph-1
ligand529-0;HALLAI-subgraph-2
ligand530-0;HAYBAL-subgraph-1
ligand531-0;ZAGGIA-subgraph-2
ligand532-0;LUKQIR-subgraph-2
ligand533-0;YIDCOE-subgraph-3
ligand534-0;LAMLIX-subgraph-0
ligand535-0;INOYAM-subgraph-1
ligand536-0;UZIYEJ-subgraph-1
ligand537-0;ZEVNUJ-subgraph-0
ligand538-0;ATEWUR-subgraph-2
ligand539-0;FUFHAR-subgraph-2
ligand540-0;GIZZIA-subgraph-2
ligand541-0;CISTEH-subgraph-0
ligand542-0;WAZWED-subgraph-2
ligand543-0;PEDHAI-subgraph-1
ligand544-0;BOBBOJ-subgraph-1
ligand545-0;HUJLIK-subgraph-1
ligand546-0;HIKQAW-subgraph-0
ligand546-1;IKIJIX-subgraph-0
ligand547-0;ZEQLUF-subgraph-2
ligand548-0;ZIDTAH-subgraph-0
ligand549-0;YOZMOQ-subgraph-1
ligand550-0;RADLIS-subgraph-1
ligand551-0;RIJWOA-subgraph-1
ligand552-0;DOMNEZ-subgraph-2
