ligand_name;smiles;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand79-0;[CH3][c]1[cH][cH][cH][c]([CH3])[c]1/[N]=[CH]/[N]([O])[c]1[c]([CH3])[cH][cH][cH][c]1[CH3];4.432180000000003;0;2;0;3
ligand80-0;[O]=[CH][C]1=[CH][C]=[C]([c]2[cH][cH][cH][cH][n]2)[CH]=[CH]1;1.9632899999999998;1;1;0;2
ligand81-0;[CH3][c]1[cH][cH][c]([S](=[O])(=[O])[N][c]2[cH][cH][c]3[cH][cH][cH][cH][c]3[c]2[c]2[c]([N]3[C][N]([CH3])[c]4[cH][cH][cH][cH][c]43)[cH][cH][c]3[cH][cH][cH][cH][c]32)[cH][cH]1;8.225810000000006;1;6;0;5
ligand82-0;[CH3][NH][C](=[S])[NH]/[N]=[C](/[CH3])[c]1[cH][cH][cH][o]1;1.0975;0;1;0;2
ligand83-0;[CH3][CH]([CH3])[N][CH]([CH3])[CH3];1.4076;0;0;0;2
ligand84-0;[F][B@]12[O]/[N]=[C]([Cl])/[C]([CH]3[O][CH2][O][CH2][O]3)=[N]/[O][B@]([F])([O]/[N]=[C]([c]3[cH][cH][cH][cH][cH]3)/[C]([c]3[cH][cH][cH][cH][cH]3)=[N]/[O]1)[O]/[N]=[C]([c]1[cH][cH][cH][cH][cH]1)/[C]([c]1[cH][cH][cH][cH][cH]1)=[N]/[O]2;5.753400000000006;4;4;1;5
ligand85-0;[CH3][c]1[cH][cH][c]2[cH][cH][c]3[cH][cH][c]([CH3])[n][c]3[c]2[n]1;3.399840000000002;0;3;0;0
ligand86-0;[CH3][c]1[cH][c]([CH3])[c]([N]2[C][N]([c]3[c]([CH3])[cH][c]([CH3])[cH][c]3[CH3])[CH2][CH2]2)[c]([CH3])[cH]1;4.860010000000005;1;2;1;2
ligand87-0;[CH][c]1[cH][cH][cH][cH][c]1[O][CH2][CH]([CH3])[CH3];2.780590000000001;0;1;0;3
ligand88-0;[CH3][CH]([CH3])[P]([CH2][CH2][NH][CH2][c]1[cH][cH][cH][cH][n]1)[CH]([CH3])[CH3];3.4699000000000026;0;1;0;7
ligand89-0;[H];0.1125;0;0;0;0
ligand90-0;[cH]1[cH][cH][c]([C]2=[N][N]=[N][N]2)[n][cH]1;0.7284;1;1;0;1
ligand91-0;[CH3][CH2][S];1.2038;0;0;0;0
ligand92-0;[CH3][C]([CH3])([CH3])[P]([CH2][CH2][P]([C]([CH3])([CH3])[CH3])[C]([CH3])([CH3])[CH3])[C]([CH3])([CH3])[CH3];7.144200000000008;0;0;0;3
ligand93-0;[CH3][CH2][n]1[cH][cH][n][c]1[N][N][c]1[cH][cH][cH][c]2[c]1[C]=[CH][CH]=[CH]2;2.7242900000000008;1;2;0;4
ligand94-0;[cH]1[cH][c]([CH]([n]2[cH][cH][cH][n]2)[n]2[cH][cH][cH][n]2)[n][c]([CH]([n]2[cH][cH][cH][n]2)[n]2[cH][cH][cH][n]2)[cH]1;2.058;0;5;0;6
ligand95-0;[CH3]/[C](=[N]\[OH])[C]1=[C][CH]=[CH][CH]=[CH]1;1.69209;1;0;0;1
ligand96-0;[CH3][C]([CH3])([CH3])[C](=[O])[CH][C](=[O])[C]([F])([F])[F];1.9372900000000002;0;0;0;2
ligand97-0;[cH]1[cH][cH][c]2[c]([cH]1)[C@H]1[CH]=[CH][C@@H]2[c]2[cH][cH][cH][cH][c]21;3.8336000000000023;3;2;0;0
ligand98-0;[cH]1[cH][n][c]2[c]([O][CH2][CH2][CH2][O][c]3[cH][cH][cH][c]4[cH][cH][cH][n][c]34)[cH][cH][cH][c]2[cH]1;4.630900000000003;0;4;0;6
ligand99-0;[CH3][CH]([CH3])[CH2][P]([S])([S])[CH2][CH]([CH3])[CH3];4.541000000000003;0;0;0;4
ligand100-0;[CH3][c]1[cH][c]([CH3])[nH][n]1;1.02654;0;1;0;0
ligand101-0;[CH3][O][c]1[cH][cH][cH][c]([O][CH3])[c]1[c]1[cH][cH][cH][cH][c]1[P]([CH]1[CH2][CH2][CH2][CH2][CH2]1)[CH]1[CH2][CH2][CH2][CH2][CH2]1;7.191800000000007;2;2;2;6
ligand102-0;[CH3][C]1=[CH][C]([O][c]2[cH][cH][cH][cH][n]2)=[C][C]([O][c]2[cH][cH][cH][cH][n]2)=[CH]1;3.4652900000000013;1;2;0;4
ligand103-0;[CH3][c]1[cH][cH][cH][c]([C](=[O])[N][c]2[cH][c]([CH3])[c]([CH3])[cH][c]2[N][C](=[O])[c]2[cH][cH][cH][c]([CH3])[n]2)[n]1;3.8628800000000023;0;3;0;4
ligand104-0;[CH3][c]1[cH][c]([CH3])[c]([N]2[C][N]([c]3[c]([CH3])[cH][c]([CH3])[cH][c]3[CH3])[CH2][CH2][CH2]2)[c]([CH3])[cH]1;5.250110000000005;1;2;1;2
ligand105-0;[F][C]1=[C][C]([F])=[C]([F])[C]([F])=[C]1[F];2.9577899999999997;1;0;0;0
ligand106-0;[N]#[C][c]1[cH][cH][c]([n]2[cH][cH][cH][cH]2)[cH][cH]1;2.3731800000000005;0;2;0;1
ligand107-0;[CH3]/[C]([O])=[C]1\[CH2][CH2][CH2][CH2]\[C]1=[N]/[c]1[cH][cH][cH][c]2[cH][cH][cH][cH][c]12;5.190800000000004;1;2;1;1
ligand108-0;[S][C](=[S])[N]1[CH2][CH2][O][CH2][CH2]1;0.8009999999999999;1;0;1;0
ligand109-0;[cH]1[cH][cH][c]([c]2[n][cH][cH][n][c]2[c]2[cH][cH][cH][cH][n]2)[n][cH]1;2.6974;0;3;0;2
ligand110-0;[CH3][O][C](=[O])[CH2][N]([CH2][c]1[n][c]2[cH][cH][cH][cH][c]2[c]2[cH][cH][cH][cH][c]12)[CH2][c]1[n][c]2[cH][cH][cH][cH][c]2[c]2[cH][cH][cH][cH][c]12;6.264600000000006;0;6;0;6
ligand111-0;[CH2][CH][C](=[O])[O][CH3];0.19777999999999996;0;0;0;1
ligand111-1;[CH2][CH][C](=[O])[O][CH3];0.19777999999999996;0;0;0;1
ligand112-0;[CH3][CH]([CH3])[P]([CH2][CH2][NH][CH2][CH2][P]([CH]([CH3])[CH3])[CH]([CH3])[CH3])[CH]([CH3])[CH3];5.173400000000005;0;0;0;10
ligand113-0;[O][CH]=[O];-0.42669999999999997;0;0;0;0
ligand114-0;[CH3][CH]([CH3])[N][C]([NH][CH]([CH3])[CH3])[O][CH2][C]1=[CH][CH]=[CH][CH]=[C]1;2.3163800000000005;1;0;0;7
ligand115-0;[cH]1[cH][cH][c]([c]2[cH][cH][cH][cH][n]2)[n][cH]1;2.192;0;2;0;1
ligand116-0;[NH2][c]1[cH][cH][cH][cH][c]1[P]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1;3.027000000000002;0;3;0;3
ligand117-0;[CH3][C@H](/[N]=[CH]/[C]1[CH]=[CH][CH]=[N]1)[c]1[cH][cH][cH][cH][cH]1;2.990990000000002;1;1;0;3
ligand118-0;[OH];-0.1768;0;0;0;0
ligand119-0;[CH3][CH]([CH3])[NH2];0.3534999999999999;0;0;0;0
ligand120-0;[CH3][NH2];-0.42510000000000003;0;0;0;0
ligand121-0;[CH3][CH]([CH3])[C@@H]1[CH2][CH2][C@@H]([CH3])[CH2][C@H]1[O][C@H]1[CH][CH][C](=[O])[O]1;2.755280000000001;2;0;2;3
ligand122-0;[CH3][C]([CH3])([CH3])[N];0.8536;0;0;0;0
ligand123-0;[CH3][CH]([CH3])[NH][CH2][CH2][NH][CH]([CH3])[CH3];0.9823999999999997;0;0;0;5
ligand124-0;[CH3][C@@H]1[CH2][CH2][C@@H]([CH3])[P]1[CH2][CH2][P]1[C@H]([CH3])[CH2][CH2][C@H]1[CH3];5.091800000000005;2;0;2;3
ligand125-0;[CH3][N]([CH3])[C]([S])=[S];1.0304;0;0;0;0
ligand126-0;[O][c]1[cH][cH][cH][cH][cH]1;1.8303999999999998;0;1;0;0
ligand127-0;[CH3][CH2][N]([CH2][CH3])[CH2][CH2][N]([CH2][CH2][S])[CH2][C](=[O])[N][CH2][CH2][S];1.1561999999999997;0;0;0;11
ligand128-0;[cH]1[cH][cH][c]2[s][c]([N][c]3[n][c]4[cH][cH][cH][cH][c]4[s]3)[n][c]2[cH]1;4.473600000000003;0;4;0;2
ligand129-0;[O]=[CH][c]1[cH][cH][cH][cH][cH]1;1.4990999999999999;0;1;0;1
ligand130-0;[CH3][O][c]1[cH][cH][c]([O][CH3])[c]([C]2=[N][c]3[c]([c]4[cH][cH][cH][n][c]4[c]4[n][cH][cH][cH][c]34)[N]2)[cH]1;4.128000000000003;1;4;0;3
ligand131-0;[NH2][c]1[cH][cH][cH][cH][c]1[NH2];0.851;0;1;0;0
ligand132-0;[CH3][C]1=[C]([CH3])[N]([CH3])[N]([CH3])[C]1;1.11129;1;0;0;0
ligand133-0;[CH3][S]([CH3])=[O];-0.005299999999999971;0;0;0;0
ligand134-0;[S][c]1[cH][cH][cH][cH][c]1[S];2.7994000000000003;0;1;0;0
ligand135-0;[NH2][c]1[cH][cH][cH][cH][c]1[NH2];0.851;0;1;0;0
ligand136-0;[O][N]=[O];0.09830000000000001;0;0;0;0
ligand137-0;[CH2][CH][OH];0.35478;0;0;0;0
ligand137-1;[CH2][CH][OH];0.35478;0;0;0;0
ligand138-0;[cH]1[cH][cH][c]([S][CH2][P]([c]2[cH][cH][cH][cH][cH]2)[c]2[cH][cH][cH][cH][cH]2)[cH][cH]1;4.869100000000004;0;3;0;5
ligand139-0;[CH](\[C]1=[N][C@H]([c]2[cH][cH][cH][cH][cH]2)[CH2][O]1)=[C]1/[CH2][CH2]/[C](=[CH]/[C]2=[N][C@H]([c]3[cH][cH][cH][cH][cH]3)[CH2][O]2)[N]1;4.4924000000000035;3;2;1;4
ligand140-0;[C]1=[CH][CH]=[CH][CH]=[CH]1;1.4717900000000002;1;0;0;0
ligand141-0;[CH3][CH2][P]([CH2][CH3])[CH2][CH3];2.5280000000000005;0;0;0;3
ligand142-0;[CH3][S][CH3];0.9792;0;0;0;0
ligand143-0;[CH3][C](=[O])[CH][C]([CH3])=[O];0.3686900000000001;0;0;0;2
ligand144-0;[CH3][C](=[N])[C@]1([P]([CH]([CH3])[CH3])[CH]([CH3])[CH3])[C]([S])=[CH][c]2[cH][cH][cH][cH][c]21;4.993600000000004;1;1;0;4
ligand145-0;[CH3][CH2][O];0.4368;0;0;0;0
ligand146-0;[O][c]1[cH][cH][cH][cH][c]1[c]1[n][c]2[cH][cH][cH][cH][c]2[o]1;3.687000000000002;0;3;0;1
ligand147-0;[CH3][c]1[cH][cH][cH][c]([CH2][N][S](=[O])(=[O])[C]([F])([F])[F])[n]1;1.3440200000000004;0;1;0;3
ligand148-0;[N][P]([c]1[cH][cH][cH][cH][cH]1)([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1;2.9642000000000017;0;3;0;3
ligand149-0;[O][P]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][cH]1;2.4648000000000003;0;2;0;2
ligand150-0;[O][C](=[O])[c]1[n][c]2[cH][cH][cH][cH][c]2[nH][c]1=[O];0.4937999999999998;0;2;0;1
ligand151-0;[O][C](=[O])[c]1[n][c]2[cH][cH][cH][cH][c]2[nH][c]1=[O];0.4937999999999998;0;2;0;1
ligand152-0;[CH3][C]([CH3])([CH3])[S][CH2][CH2][S][C]([CH3])([CH3])[CH3];4.049800000000003;0;0;0;3
ligand153-0;[CH](=[N]/[N]1[CH2][CH2][CH2][CH2][CH2][CH2]1)\[c]1[cH][cH][cH][c](/[CH]=[N]/[N]2[CH2][CH2][CH2][CH2][CH2][CH2]2)[n]1;3.501400000000003;2;1;2;4
ligand154-0;[CH2]/[CH]=[CH]\[CH][O][CH3];1.18488;0;0;0;2
ligand155-0;[CH3][NH][C](=[S])[N]/[N]=[C](\[CH3])[c]1[cH][cH][cH][cH][n+]1[O-];0.1526999999999999;0;1;0;2
ligand156-0;[CH3][NH][C](=[S])[N]/[N]=[C](\[CH3])[c]1[cH][cH][cH][cH][n+]1[O-];0.1526999999999999;0;1;0;2
ligand157-0;[CH3][CH]([CH3])/[N]=[C](\[NH][CH]([CH3])[CH3])[C]1=[CH][CH]=[CH][CH]1;2.491790000000001;1;0;0;3
