ligand0-0 | UKEBAN-subgraph-0
ligand10161-0 | JADHUU-subgraph-0
ligand10162-0 | MOYDAF-subgraph-1
ligand10162-1 | HEDGOO-subgraph-1
ligand10164-0 | RUKPIW-subgraph-3
ligand10165-0 | SUZLUW-subgraph-0
ligand10166-0 | EQUKIM-subgraph-1
ligand10167-0 | TARQUZ-subgraph-3
ligand10168-0 | AJODEK-subgraph-1
ligand10169-0 | XETGIM-subgraph-2
ligand1017-0 | HABHOH-subgraph-1
ligand10170-0 | XETGIM-subgraph-3
ligand10171-0 | AHUCAI-subgraph-0
ligand10172-0 | RANHIZ-subgraph-1
ligand10173-0 | HUXBOT-subgraph-0
ligand10174-0 | ZEXDOV-subgraph-0
ligand10175-0 | VEGDIV-subgraph-0
ligand10176-0 | FEWBUF-subgraph-0
ligand10177-0 | CUDNOF-subgraph-1
ligand10178-0 | OCOPOO-subgraph-0
ligand10179-0 | DIGRES-subgraph-1
ligand1018-0 | HUDMEY-subgraph-1
ligand10180-0 | KOJLAZ-subgraph-0
ligand10181-0 | XIQPET-subgraph-0
ligand10182-0 | JOJJEZ-subgraph-0
ligand10183-0 | OWUKEX-subgraph-0
ligand10184-0 | MOFCAO-subgraph-1
ligand10185-0 | HISWIP-subgraph-0
ligand10185-1 | CELKIN-subgraph-0
ligand10186-0 | HAYFUI-subgraph-2
ligand10187-0 | CIMLUG-subgraph-2
ligand10188-0 | ALBTCI-subgraph-3
ligand10189-0 | GIFVUN-subgraph-1
ligand1019-0 | NEBKEK-subgraph-0
ligand10190-0 | WOQNUN-subgraph-0
ligand10191-0 | MAZWOZ-subgraph-2
ligand10192-0 | YUWDAV-subgraph-0
ligand10193-0 | MOSKUC-subgraph-0
ligand10194-0 | XIPGAH-subgraph-1
ligand10195-0 | SOKSES-subgraph-0
ligand10196-0 | CUBGAJ-subgraph-2
ligand10197-0 | KAVZEN-subgraph-1
ligand10198-0 | BULYEM-subgraph-1
ligand10199-0 | GAMKEM-subgraph-2
ligand102-0 | OBUQIM-subgraph-0
ligand1020-0 | FANJUA-subgraph-3
ligand10200-0 | FUQHEG-subgraph-1
ligand10201-0 | SAENFE-subgraph-0
ligand10202-0 | SAENFE-subgraph-1
ligand10203-0 | JOPYOE-subgraph-0
ligand10204-0 | PEPWOY-subgraph-1
ligand10205-0 | MOGNAZ-subgraph-0
ligand10206-0 | UTOQAX-subgraph-1
ligand10207-0 | RUVDAP-subgraph-0
ligand10208-0 | QIDBOU-subgraph-0
ligand10209-0 | ZEYHET-subgraph-1
ligand1021-0 | LINGEV-subgraph-1
ligand10210-0 | NIFNAR-subgraph-2
ligand10211-0 | ASABUT-subgraph-2
ligand10212-0 | BUXNAJ-subgraph-2
ligand10213-0 | LIBWOJ-subgraph-1
ligand10214-0 | IHESUL-subgraph-0
ligand10215-0 | KIHHOY-subgraph-3
ligand10216-0 | LUVFUD-subgraph-1
ligand10217-0 | JEKXEF-subgraph-1
ligand10218-0 | SEGSAA-subgraph-2
ligand10219-0 | DEWMOH-subgraph-2
ligand1022-0 | QEMNIF-subgraph-0
ligand10220-0 | QUTNUO-subgraph-1
ligand10221-0 | ODUKAZ-subgraph-0
ligand10222-0 | TACZON-subgraph-0
ligand10223-0 | XIYFUI-subgraph-0
ligand10224-0 | VAKCAN-subgraph-0
ligand10225-0 | MUFDEX-subgraph-2
