occurrence;energy;dipole_moment;homo_lumo_gap;metal_bound_homo_energy;metal_bound_homo_s;metal_bound_homo_p;metal_bound_homo_d;metal_bound_homo_f;metal_bound_lumo_energy;metal_bound_lumo_s;metal_bound_lumo_p;metal_bound_lumo_d;metal_bound_lumo_f;polarisability;molar_volume;largest_frequency;I1/I3;I2/I3
KOCXUY-subgraph-3;-745.934137837;3.3023;0.128;-0.208;0.0;0.9864410342652933;0.013558965734706746;0.0;-0.08;0.0;0.98219457256248;0.017805427437520113;0.0;211.46;1952.579;3153.2034;0.19139931758201068;0.8099257729037563
KOCXOS-subgraph-1;-745.934137571;3.3025;0.128;-0.208;0.0;0.9864410342652933;0.013558965734706746;0.0;-0.08;0.0;0.98219457256248;0.017805427437520113;0.0;211.46;1888.131;3153.1973;0.19139821668581808;0.809926857370356
REGGEP-subgraph-0;-1659.95462361;1.3168;0.14;-0.22;0.016696152145068553;0.9637328615656788;0.01957098628925254;0.0;-0.08;0.012615069894306172;0.902261620638709;0.08512330946698488;0.0;300.0;3327.807;3170.0222;;
NEVQOU-subgraph-0;-1659.95614289;1.5735;0.136;-0.213;0.011739713774597498;0.9722719141323793;0.01598837209302326;0.0;-0.077;0.0;0.9173870226501806;0.08261297734981944;0.0;296.28;3547.337;3172.8807;;
EYEPIK-subgraph-0;-3750.51583063;10.9575;0.132;0.065;0.0;0.9882741711971005;0.011725828802899477;0.0;0.197;0.027747786655150077;0.9468797236018138;0.02537248974303606;0.0;280.28;2814.121;3083.1486;;
UCIGAP-subgraph-1;-1683.75113234;4.0604;0.16099999999999998;-0.102;0.0;1.0;0.0;0.0;0.059;0.0;1.0;0.0;0.0;275.47;2499.237;3147.1995;;
UCIGUJ-subgraph-1;-1683.75112944;4.0607;0.16099999999999998;-0.102;0.0;1.0;0.0;0.0;0.059;0.0;1.0;0.0;0.0;275.48;2528.935;3147.2105;;
VUJYUV-subgraph-0;-1077.39896813;5.6041;0.164;-0.226;0.0;1.0;0.0;0.0;-0.044;0.0;1.0;0.0;0.0;273.5;2786.208;3191.9735;;
XIPPET-subgraph-0;-1850.37398869;4.1177;0.139;-0.224;0.046027458924150354;0.9415935178933152;0.012379023182534324;0.0;-0.085;0.0;0.9576557895885627;0.0423442104114373;0.0;334.94;3465.804;3143.7417;;
XEHSOV-subgraph-1;-1211.98626776;4.5896;0.123;0.056;0.01075268817204301;0.9249462365591398;0.0643010752688172;0.0;0.179;0.0;0.9336095177395368;0.06639048226046314;0.0;374.87;3980.13;3150.2752;;
