name;exact_cone_angle;buried_volume;solid_angle;solid_cone_angle;G_parameter;sasa_area_stable;sasa_volume_stable;sasa_area_free;sasa_volume_free
ligand28551-0;190.7832251211948;0.3463007827059262;5.046148823814769;157.29080707502337;40.15597644437371;540.7235396074739;896.1707150188753;542.3135113404144;894.5541137127252
ligand28552-0;173.8977568188773;0.21183143868803578;2.91808606180965;115.23455300030464;23.22139105522839;656.3606780768874;1019.4049470595941;656.4706908506163;1019.2439812042271
ligand28553-0;225.9129337222046;0.3813420145359672;5.5771644848226245;167.09647253451755;44.38166480980423;415.6397183322177;623.0963768938087;419.6395836234006;628.9131783913349
ligand28554-0;282.56523555780797;0.7821817927692881;10.28930345783396;259.22521297689593;81.87967531434029;579.5315423752087;1022.3300714688604;565.9011200761646;1011.9443077100564
ligand28555-0;287.28800473287936;0.6716536992172941;9.25127284366041;236.37855188942262;73.61929014801846;874.1266355940321;1526.5611423284483;;
ligand28556-0;275.9747693143209;0.45678228661945586;6.5011917367459;183.97675869510562;51.7348400445647;448.1651266528304;691.8242517819837;454.0749331487255;695.9526267144103
ligand28557-0;212.4889119070627;0.3900833954528513;5.462161093078927;164.98337131105976;43.46649689638707;636.3039154819031;1088.2760774024985;635.333671158419;1085.5067858041875
ligand28558-0;184.58267430173615;0.33777487886693996;4.672137793274396;150.2861527351312;37.179691230303995;486.561264721305;805.3136881955883;;
ligand28559-0;211.64882447006556;0.3785058702944465;5.039148617360804;157.16057505461808;40.10027057138309;423.8010781378388;661.910469586127;419.41106946900953;657.4298667334166
ligand28560-0;295.6113211415978;0.6617417536339918;9.878291336036916;249.80461389430891;78.6089447716059;549.7625050470303;901.1920597669318;598.7607799799655;942.4368345049362
ligand28561-0;247.9104056777908;0.4018356317554976;5.90817424714579;173.15655123471822;47.01575680407449;468.14941143758193;740.83887036245;455.03997407421036;725.1359768170124
ligand28562-0;201.38358168369814;0.29065528326500184;4.696138501116558;150.7387767080067;37.370682794843226;563.0431046351912;897.8481945802824;554.7930814889442;892.0705305352174
ligand28563-0;278.76999817485716;0.5311917629519195;8.012236301308745;211.946318395252;63.75935062868056;630.8949798283675;1016.8281687887102;634.2545377419757;1023.255319944765
ligand28564-0;125.04797314876221;0.17481014722325755;2.6400778626379293;109.12443602223591;21.009072099315617;424.2211238107752;723.0620905730187;423.7011304512267;722.6031740472263
ligand28565-0;175.3925457373233;0.2642331345508759;3.8741142575224763;134.90917636681112;30.829221709374504;788.143277350928;1385.1541537493317;784.6432252080175;1381.9746525396731
ligand28566-0;300.4613756948275;0.6724631941856131;8.925263228804361;229.73228704891156;71.02498806302721;711.3443256335846;1262.4999522315632;659.7333379083453;1209.1254732523732
ligand28567-0;151.0410036245864;0.2855537178531495;3.6351072085942695;130.14707179972783;28.927264045837976;393.285549927223;612.335324882683;392.63557426039046;613.2967942728925
