name;L*-energy;L*-dipole_moment;L*-homo_lumo_gap;L*-metal_bound_homo_energy;L*-metal_bound_homo_s;L*-metal_bound_homo_p;L*-metal_bound_homo_d;L*-metal_bound_homo_f;L*-metal_bound_lumo_energy;L*-metal_bound_lumo_s;L*-metal_bound_lumo_p;L*-metal_bound_lumo_d;L*-metal_bound_lumo_f;L_free-energy;L_free-dipole_moment;L_free-homo_lumo_gap;L_free-metal_bound_homo_energy;L_free-metal_bound_homo_s;L_free-metal_bound_homo_p;L_free-metal_bound_homo_d;L_free-metal_bound_homo_f;L_free-metal_bound_lumo_energy;L_free-metal_bound_lumo_s;L_free-metal_bound_lumo_p;L_free-metal_bound_lumo_d;L_free-metal_bound_lumo_f;L_free-polarisability;L_free-molar_volume;L_free-largest_frequency;L_free-I1/I3;L_free-I2/I3
ligand35509-0;-1266.70991329;1.7265;0.185;-0.216;0.109387036425663;0.8767470012105205;0.0138659623638164;0.0;-0.031;0.0;0.9298752310536044;0.0701247689463955;0.0;-1266.71201841;1.6404;0.196;-0.225;0.0740952817224003;0.913650939074668;0.0122537792029317;0.0;-0.029;0.0;1.0;0.0;0.0;266.35;3058.255;3150.3536;0.7065564208458828;0.8420760599153206
ligand35510-0;-878.169343464;3.8469;0.1989999999999999;-0.237;0.3335411471321696;0.638715710723192;0.0277431421446384;0.0;-0.038;0.0;0.9557739557739556;0.0442260442260442;0.0;-878.171222534;4.0295;0.2029999999999999;-0.241;0.3479125248508946;0.622371036936277;0.0297164382128282;0.0;-0.038;0.0;0.9545843128873692;0.0454156871126309;0.0;142.3;1531.48;3154.1717;0.3467057246496975;0.7298952107765644
ligand35511-0;-1359.1123327;13.966;0.0499999999999999;0.122;0.034471853257432;0.9193548387096776;0.0461733080328905;0.0;0.172;0.0135198135198135;0.9748251748251748;0.0116550116550116;0.0;-1359.21736619;5.0688;0.072;0.071;0.0440192388122124;0.9191760769552488;0.0368046842325386;0.0;0.15;0.0432141219624025;0.9275561668959194;0.0292297111416781;0.0;425.78;3850.986;3138.2672;;
ligand35512-0;-420.591959273;7.0688;0.125;0.186;0.0899598393574297;0.890863453815261;0.0191767068273092;0.0;0.311;0.91105743988239;0.08894256011761;0.0;0.0;-420.635098387;5.5538;0.178;0.139;0.2598840819706065;0.7094804388325399;0.0306354791968536;0.0;0.353;0.2103344098343577;0.7896655901656422;0.0;0.0;79.1;1030.566;3010.1761;0.6621144945334586;0.9478679633518664
ligand35513-0;-684.765819689;5.3829;0.119;0.009;0.2885225760212962;0.6906931504044231;0.0207842735742807;0.0;0.128;0.0300040683482506;0.9141578519121236;0.0558380797396257;0.0;-684.782925637;5.5741;0.136;-0.017;0.2634091832588379;0.713835839089801;0.0227549776513612;0.0;0.119;0.0328339831725836;0.9190437102400986;0.0481223065873178;0.0;98.57;1066.996;3275.9427;0.2935247385149887;0.7128118808278391
ligand35514-0;-590.006684088;8.6387;0.072;0.037;0.3328503415441938;0.6374456634237217;0.0297039950320844;0.0;0.109;0.0465798045602606;0.9411509229098806;0.0122692725298588;0.0;-590.063755306;6.3141;0.121;-0.015;0.2855133614627286;0.6747809152872444;0.039705723250027;0.0;0.106;0.0920232208127284;0.8960438615351537;0.0119329176521178;0.0;162.77;1794.384;3087.4255;0.2100851856706847;0.8210816395910476
ligand35515-0;-892.808422403;4.6189;0.152;-0.08;0.0;0.9689250607758164;0.0310749392241834;0.0;0.072;0.0;0.984778292521509;0.015221707478491;0.0;-892.813368277;4.8684;0.148;-0.082;0.0;0.973007989635068;0.0269920103649319;0.0;0.066;0.0;0.9852041383913672;0.0147958616086327;0.0;260.97;2069.909;3126.7206;;
ligand35516-0;-3751.27148022;6.0817;0.063;-0.006;0.0811012698751467;0.9038523103190697;0.0150464198057838;0.0;0.057;0.2288514809290433;0.7461112294907309;0.0250372895802258;0.0;-3751.33155344;4.6478;0.125;-0.042;0.0545955687480122;0.9191137496024594;0.0262906816495282;0.0;0.083;0.0735051546391752;0.887422680412371;0.0390721649484536;0.0;210.46;2590.033;3161.779;0.7303501386135542;0.859959126412916
ligand35517-0;-1144.5625859;6.3137;0.0979999999999999;-0.01;0.3246949573480186;0.6753050426519814;0.0;0.0;0.088;0.0464121818940342;0.8697329995828118;0.0838548185231539;0.0;-1144.57165965;5.3889;0.1169999999999999;-0.031;0.2935187212612218;0.7064812787387782;0.0;0.0;0.086;0.0508638265908359;0.8641485137890332;0.0849876596201309;0.0;313.99;3264.109;3132.8051;;
ligand35518-0;-913.195611036;4.4279;0.1119999999999999;-0.041;0.0451303885045236;0.9213411389036722;0.0335284725918041;0.0;0.071;0.0;1.0;0.0;0.0;-913.226045471;3.2956;0.106;-0.053;0.042016806722689;0.9296218487394956;0.0283613445378151;0.0;0.053;0.0238329506942166;0.9634852957253744;0.0126817535804088;0.0;298.62;2543.663;3130.4184;;
