name;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
ligand202-0;1.6356899999999996;1;2;0;2
ligand203-0;7.394330000000007;4;1;0;10
ligand204-0;2.618290000000001;1;1;1;1
ligand205-0;1.7721799999999996;2;0;1;1
ligand206-0;1.8054999999999999;0;2;0;1
ligand207-0;5.574000000000005;0;4;0;11
ligand208-0;2.8364000000000003;0;2;0;4
ligand209-0;4.831600000000004;0;4;0;5
ligand210-0;3.1284;0;2;0;4
ligand211-0;1.3900199999999998;0;1;0;1
ligand212-0;0.9316;0;3;0;14
ligand213-0;1.3957899999999999;0;0;0;9
ligand214-0;2.58061;0;1;0;2
ligand215-0;1.5638899999999998;0;1;0;8
ligand216-0;2.756780000000001;2;0;0;11
ligand217-0;1.0930900000000001;0;1;0;2
ligand218-0;4.924480000000003;3;0;3;3
ligand219-0;2.4824600000000006;0;2;0;7
ligand220-0;0.9372;1;1;0;3
ligand221-0;4.394490000000002;1;0;0;8
ligand222-0;0.2792;0;0;0;5
ligand223-0;0.84719;1;0;0;0
ligand224-0;6.595570000000007;4;0;0;13
ligand225-0;-0.5622;1;0;1;0
ligand226-0;1.0816;0;1;0;0
ligand227-0;1.47128;2;0;0;2
ligand228-0;2.3006;0;1;0;5
ligand229-0;1.3906;1;0;1;1
ligand230-0;3.693500000000002;0;0;0;9
ligand231-0;-0.44710000000000005;0;0;0;0
ligand231-1;-0.44710000000000005;0;0;0;0
ligand232-0;2.747890000000001;1;1;0;3
ligand233-0;2.377560000000001;1;0;1;0
ligand234-0;3.2562000000000006;2;0;2;2
ligand235-0;6.408400000000005;0;3;0;6
ligand236-0;0.34827999999999987;0;1;0;0
ligand237-0;-1.1918999999999986;1;0;1;2
ligand238-0;-1.4418000000000002;0;0;0;0
ligand239-0;3.3024000000000013;0;3;0;2
ligand240-0;4.171590000000002;3;2;0;2
ligand241-0;-0.03660000000000008;0;0;0;1
ligand242-0;5.316460000000004;2;2;2;5
ligand243-0;1.4608999999999994;0;2;0;3
ligand244-0;5.642300000000006;0;4;0;8
ligand245-0;7.974290000000006;1;2;0;14
ligand246-0;6.033040000000005;0;4;0;9
ligand247-0;0.32279;0;0;0;2
ligand248-0;-0.15150999999999992;0;0;0;4
ligand249-0;8.965400000000002;0;3;0;16
ligand249-1;8.965400000000002;0;3;0;16
ligand250-0;-1.2311999999999992;1;0;1;0
ligand251-0;2.15219;1;1;0;5
ligand252-0;5.897300000000005;0;4;0;6
ligand253-0;4.069700000000003;1;1;0;2
ligand254-0;0.66498;0;0;0;0
ligand255-0;1.44682;0;1;0;4
ligand256-0;0.7303999999999999;0;0;0;1
ligand257-0;1.9312000000000002;1;0;0;4
ligand258-0;3.990120000000001;0;3;0;9
ligand259-0;4.099190000000004;0;0;0;17
ligand260-0;4.978810000000004;0;1;0;3
ligand261-0;4.171990000000002;3;1;1;3
ligand262-0;3.4993900000000018;3;1;3;7
ligand263-0;4.740000000000003;1;1;1;11
ligand264-0;2.7556599999999998;0;1;0;3
ligand265-0;2.7622;0;1;0;16
ligand266-0;4.364980000000001;0;3;0;0
ligand266-1;4.364980000000001;0;3;0;0
ligand267-0;1.57722;0;1;0;2
ligand268-0;1.6297999999999995;0;3;0;3
ligand269-0;2.3440000000000003;3;0;2;4
ligand270-0;6.199640000000005;1;3;1;11
ligand271-0;1.62449;0;1;0;0
ligand272-0;5.265080000000003;1;3;0;6
ligand273-0;2.846700000000001;0;0;0;11
ligand274-0;5.4190000000000005;0;4;0;3
ligand275-0;4.224000000000003;0;2;0;3
ligand276-0;3.085870000000001;0;4;0;7
ligand277-0;5.633400000000005;1;3;1;6
ligand278-0;1.01949;0;1;0;0
ligand279-0;2.5454;0;2;0;7
ligand280-0;1.15869;1;0;0;0
ligand281-0;1.15869;1;0;0;0
ligand282-0;0.5153999999999999;0;1;0;2
