name;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds;exact_cone_angle;buried_volume;solid_angle;solid_cone_angle;G_parameter;sasa_area_stable;sasa_volume_stable;sasa_area_free;sasa_volume_free;L*-energy;L*-dipole_moment;L*-homo_lumo_gap;L*-metal_bound_homo_energy;L*-metal_bound_homo_s;L*-metal_bound_homo_p;L*-metal_bound_homo_d;L*-metal_bound_homo_f;L*-metal_bound_lumo_energy;L*-metal_bound_lumo_s;L*-metal_bound_lumo_p;L*-metal_bound_lumo_d;L*-metal_bound_lumo_f;L_free-energy;L_free-dipole_moment;L_free-homo_lumo_gap;L_free-metal_bound_homo_energy;L_free-metal_bound_homo_s;L_free-metal_bound_homo_p;L_free-metal_bound_homo_d;L_free-metal_bound_homo_f;L_free-metal_bound_lumo_energy;L_free-metal_bound_lumo_s;L_free-metal_bound_lumo_p;L_free-metal_bound_lumo_d;L_free-metal_bound_lumo_f;L_free-polarisability;L_free-molar_volume;L_free-largest_frequency;L_free-I1/I3;L_free-I2/I3
ligand13052-0;5.872000000000004;2;0;2;1;226.8516333145793;0.4642832184122251;6.050178435211921;175.74948960491042;48.14579022759828;498.6112273309162;857.3253664423243;498.89114084890485;854.3771206354864;-1310.94822;1.5725;0.2019999999999999;-0.177;0.1495136846867224;0.8504863153132776;0.0;0.0;0.025;0.2338886453309952;0.6753616834721613;0.0907496711968434;0.0;-1310.96414404;1.5374;0.238;-0.214;0.1274689940284795;0.8725310059715204;0.0;0.0;0.024;0.5207569485511532;0.4191602602010645;0.0600827912477823;0.0;230.42;3151.235;3065.2352;0.3079453818876059;0.8666404911702095
ligand13053-0;7.212380000000007;3;3;0;8;285.0796499988983;0.711627609019754;9.18227080861419;234.955457066096;73.07018939996816;749.1857112055119;1303.3097595088166;758.9464668397105;1312.33258867858;-1602.04399596;3.598;0.087;0.075;0.0434926958831341;0.956507304116866;0.0;0.0;0.162;0.0;0.9377281274195332;0.0622718725804667;0.0;-1602.08192884;2.3799;0.1059999999999999;0.04;0.0;0.9650301856703496;0.0349698143296503;0.0;0.146;0.0;0.9470087385166928;0.0529912614833071;0.0;518.44;4240.866;3134.4514;;
ligand13054-0;7.719300000000007;0;8;0;7;224.1455673037907;0.5298639582556839;6.723198284285908;188.0314482477696;53.5015120165526;798.4953301366122;1490.0232739328587;791.8952783753017;1480.4821570744125;-2371.11312461;4.0211;0.137;-0.199;0.1171149439150886;0.8828850560849114;0.0;0.0;-0.062;0.0;0.930672268907563;0.0693277310924369;0.0;-2371.11670988;4.2286;0.15;-0.214;0.0956387769613652;0.9043612230386348;0.0;0.0;-0.064;0.0;0.9309828321235166;0.0690171678764834;0.0;520.15;4456.439;3145.9929;;
ligand13055-0;4.980800000000004;1;1;0;3;203.68421261349957;0.3150857249347745;4.285126379319517;142.91585178014313;34.099952252108864;567.4108416149151;931.9344292867012;568.9208656657488;932.617820442335;-945.401057883;5.3362;0.149;-0.041;0.0;0.9548596112311016;0.0451403887688984;0.0;0.108;0.001472420432665;0.9545814928077924;0.0439460867595424;0.0;-945.414385399;4.8745;0.152;-0.045;0.0;0.9534807713258524;0.0465192286741475;0.0;0.107;0.0004587682073632;0.95595825209313;0.0435829796995068;0.0;258.33;3209.292;3117.2771;;
ligand13056-0;5.619190000000006;4;1;2;10;285.5363116225612;0.7462437103988073;10.389306407176305;261.6134529418354;82.67547349992041;715.8128696382263;1321.3030164423524;831.011978458055;1407.0115940782116;-1493.32108438;12.4809;0.0029999999999999;0.041;0.0280767430978006;0.9589377632194666;0.0129854936827328;0.0;0.187;-0.014533258803801;0.9401900503074344;0.0743432084963666;0.0;-1493.38812447;8.1945;0.146;0.023;0.0112582781456953;0.958167770419426;0.0305739514348785;0.0;0.174;0.0045896040132351;0.9283808303981216;0.0670295655886434;0.0;454.29;3661.377;3134.2457;;
ligand13057-0;4.313990000000003;0;1;0;7;165.0817010412341;0.2206252329481923;3.522103875837419;127.8637180697416;28.028012096132425;490.37199392426106;780.8082162569316;489.0319579998913;779.6075177493464;-1037.23839319;3.8761;0.1679999999999999;-0.208;0.0;0.9837434584122036;0.0162565415877964;0.0;-0.04;-0.0210775473399459;0.9807258791704238;0.040351668169522;0.0;-1037.23931774;3.8323;0.1679999999999999;-0.211;0.0;0.984428492545555;0.015571507454445;0.0;-0.043;-0.0187387791741472;0.9763240574506284;0.0424147217235188;0.0;202.01;2306.212;3149.0328;0.4033635332252024;0.8771378825482135
ligand13058-0;2.6404;0;2;0;5;251.68600761441596;0.4035245061498322;6.2401840389623775;179.21574478679835;49.65780678020054;526.5591391768107;837.088728937815;528.5586186509759;838.2263073226104;-1410.82200077;18.4904;0.077;0.084;0.0409570577787065;0.9438930101347822;0.0151499320865113;0.0;0.161;0.0;0.925307651150348;0.0746923488496522;0.0;-1410.86477273;17.9342;0.114;0.051;0.0458480282141712;0.9335257026824836;0.020626269103345;0.0;0.165;0.0;0.9247516381314732;0.0752483618685267;0.0;272.67;2432.257;3123.6345;;
ligand13059-0;1.2676999999999996;0;1;0;2;168.76216451419194;0.2578678251956764;3.890114729417252;135.22495674877968;30.95654941906733;333.66960257213725;480.6496489121862;334.96948216745267;482.5050592351158;-914.779684633;10.1719;0.086;0.014;0.0;0.9690334688770724;0.0309665311229277;0.0;0.1;0.0;0.94243995344408;0.05756004655592;0.0;-914.788960217;10.1973;0.09;0.006;0.0;0.9672795263321908;0.0327204736678092;0.0;0.096;0.0;0.9558011049723756;0.0441988950276243;0.0;141.98;1429.044;3382.4071;0.1125582561199158;0.8899416586487324
ligand13061-0;4.068100000000001;2;1;0;1;135.30489429584551;0.2031774133432724;2.525074470894231;106.52898421861823;20.093904185898456;439.28161632076296;701.6389887348703;438.25159924598046;700.8784829691581;-923.804575967;1.9877;0.201;-0.228;0.1586237712243074;0.8413762287756925;0.0;0.0;-0.027;0.0;0.9049190471279778;0.0950809528720222;0.0;-923.804657625;1.8447;0.207;-0.233;0.1702576632607729;0.8066414926699245;0.0231008440693025;0.0;-0.026;-0.0233818684238495;0.935699861834414;0.0876820065894356;0.0;182.16;2604.7;3131.7208;0.3354080934851811;0.8801029089559101
ligand13062-0;1.1384;0;1;0;3;134.0654521331343;0.214393868803578;2.8620844101779364;114.02102908436868;22.775744071303517;386.25812698987966;570.0948724582419;389.0879279115405;573.3147922663135;-665.873822884;16.0703;0.13;-0.06;0.0;0.9826637599916952;0.0173362400083047;0.0;0.07;0.0;0.9604772557792692;0.0395227442207307;0.0;-665.878437851;15.5426;0.147;-0.078;0.0;0.9823529411764704;0.0176470588235294;0.0;0.069;0.0;0.9816375027003672;0.0183624972996327;0.0;156.68;1735.829;3520.7024;0.1128145011532292;0.9291873772913534
