Unnamed: 0;name;stoichiometry;occurrence;parent_metal_occurrences;metal_bond_node_idx_groups;smiles;smiles_metal_bond_node_idx_groups;weisfeiler_lehman_graph_hash;stable_occurrence
29260;ligand29017-0;C21H19NOS;1;{'Ru': ['LELTIG-subgraph-0']};{'LELTIG-subgraph-0': [[11], [24]]};c1([H])c([H])c([H])c(c(c1C(Sc1c([H])c([H])c(c(c1/C(=N/c1c(c([H])c(c(c1[H])[H])OC([H])([H])[H])[H])/[H])[H])[H])([H])[H])[H])[H];[[10], [20]];f0422699d7706b3b0476f6db66bdd2a3;LELTIG-subgraph-0
29261;ligand29018-0;C14H10N2;2;{'Pd': ['GIHFIO-subgraph-1', 'GIHFIO-subgraph-3'], 'Au': ['UZIMEW-subgraph-0']};{'GIHFIO-subgraph-1': [[0]], 'GIHFIO-subgraph-3': [[0]], 'UZIMEW-subgraph-0': [[19]]};n1c2c(c([H])c(c(n2)c2c([H])c([H])c(c(c2[H])[H])[H])[H])c(c(c1[H])[H])[H];[[0]];fa8cd02e459699e49efc046259583858;UZIMEW-subgraph-0
29262;ligand29019-0;C11H19N3O;1;{'Pd': ['DOLWOT-subgraph-0', 'DOLWOT-subgraph-2']};{'DOLWOT-subgraph-0': [[15]], 'DOLWOT-subgraph-2': [[21]]};C(=O)(C([H])([H])C(n1nc(c(c1C([H])([H])[H])[H])C([H])([H])[H])([H])[H])N(C(C([H])([H])[H])([H])C([H])([H])[H])[H];[[7]];5741ac70e8cd7830e1278d5c41d0f13b;DOLWOT-subgraph-2
29264;ligand29021-0;C6HF4O;1;{'Ru': ['ODUKUV-subgraph-2']};{'ODUKUV-subgraph-2': [[7]]};Fc1c(c([H])c(c(c1[O])F)F)F;[[8]];a2fb5db09238db32bd46cf5ed5d5fdcc;ODUKUV-subgraph-2
29265;ligand29022-0;C24H35N2P;1;{'Hf': ['GUZNIA-subgraph-2']};{'GUZNIA-subgraph-2': [[0], [28], [31]]};P(c1c([H])c([H])c(c(c1[H])[H])[H])(c1c([H])c(c(c(c1[H])[H])[H])[H])C([H])([H])C(C([N]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])(C([N]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H];[[0], [28], [45]];521007f38d1e7db98c66d93ef29b1df0;GUZNIA-subgraph-2
29266;ligand29023-0;C7H20N4O;1;{'Co': ['EVABAE-subgraph-2']};{'EVABAE-subgraph-2': [[0], [9], [20], [28]]};N([H])([H])C([H])(C([H])([H])N(C([H])([H])C([H])(C([H])([H])N([H])C([H])([H])C([H])(N([H])[H])[H])O[H])[H])[H];[[0], [8], [17], [24]];1a5c9fadc6c5e5865156d2555d66741f;EVABAE-subgraph-2
29267;ligand29024-0;C16H17N4S2;1;{'Pd': ['VUKBOV-subgraph-0']};{'VUKBOV-subgraph-0': [[0], [14], [27]]};S=c1n(c(c(n1C1=C(C(=C(C(=[C]1)n1c(=S)n(c(c1[H])[H])C([H])([H])C([H])([H])[H])[H])[H])[H])[H])[H])C(C([H])([H])[H])([H])[H];[[0], [11], [14]];8e5ea419b786ddc272bda08f46686c8d;VUKBOV-subgraph-0
29268;ligand29025-0;C18H20N2;1;{'Ni': ['BAKYAQ-subgraph-1', 'BAKYAQ-subgraph-3']};{'BAKYAQ-subgraph-1': [[0]], 'BAKYAQ-subgraph-3': [[0]]};n1c([H])c([H])c(c2c1/C(=N/c1c(c([H])c(c(c1C([H])([H])[H])[H])[H])C([H])([H])[H])/C(C2([H])[H])(C([H])([H])[H])C([H])([H])[H])[H];[[0]];9f36774b0dc3f4a215475c8ba1cc3d04;BAKYAQ-subgraph-3
29269;ligand29026-0;C9H9N;1;{'Pd': ['SIBSIF-subgraph-1', 'SIBSIF-subgraph-3']};{'SIBSIF-subgraph-1': [[0]], 'SIBSIF-subgraph-3': [[0]]};N1=C(C([H])([H])[H])C(c2c1c([H])c(c(c2[H])[H])[H])([H])[H];[[0]];01f263bc72f00fabfd093d6f237046cc;SIBSIF-subgraph-3
29270;ligand29027-0;C23H29NO2;1;{'Mo': ['UYIZIM-subgraph-0']};{'UYIZIM-subgraph-0': [[9], [27], [45]]};c1(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c(c(c1[O])/C(=N/[C@](c1c([H])c([H])c(c(c1[H])[H])[H])([H])C([H])([O])[H])/[H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H];[[20], [22], [38]];f2ed423fbc61c50f6bb1f62e7ceafb24;UYIZIM-subgraph-0
