;name;stoichiometry;occurrence;parent_metal_occurrences;metal_bond_node_idx_groups;smiles;smiles_metal_bond_node_idx_groups;weisfeiler_lehman_graph_hash
19372;ligand19179-0;C15H19NO2S;1;{'Pt': ['UPIKEK-subgraph-2']};{'UPIKEK-subgraph-2': [[12, 21]]};S(=O)(=O)(N1C([H])([H])/C(=C(/[H])\C(C([C]([C](C1([H])[H])[H])[H])([H])[H])([H])[H])/[H])c1c(c([H])c(c(c1[H])[H])C([H])([H])[H])[H];[[13, 12]];e661dca0cfb709dd57252ba7e9e29d18
19373;ligand19180-0;C19H22N2O2;2;{'Mo': ['IPAMAO-subgraph-0'], 'Mn': ['LILLEZ-subgraph-0']};{'IPAMAO-subgraph-0': [[0], [19], [23], [40]], 'LILLEZ-subgraph-0': [[2], [10], [28], [39]]};N1(C([H])([H])c2c(c(c(c(c2[O])[H])[H])[H])[H])C([H])([H])C([H])([H])C(N(C(C1([H])[H])([H])[H])C([H])([H])c1c(c([H])c(c(c1[O])[H])[H])[H])([H])[H];[[0], [22], [10], [39]];68fdd3b18bce40cb631d5986978face0
19374;ligand19181-0;C18H24N2;1;{'Zr': ['BAMQUC-subgraph-0']};{'BAMQUC-subgraph-0': [[8, 1, 3, 0]]};[N](C1=C([N]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[C@]2([C@]1([H])c1c2c([H])c(c(c1[H])[H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H];[[3, 1, 2, 0]];41a7c124b2147885d2a7c314f9ad898a
19375;ligand19182-0;C25H25N5;1;{'Pd': ['NEDXUQ-subgraph-1']};{'NEDXUQ-subgraph-1': [[1], [14], [23]]};c1(nc(c(c(c1[H])[H])[H])C([H])([H])N1c2c([H])c(c(c(c2N([C]1)C([H])([H])C([H])([H])[H])[H])[H])[H])C([H])([H])N1c2c(c([H])c(c(c2N([C]1)C(C([H])([H])[H])([H])[H])[H])[H])[H];[[1], [44], [21]];7b00b5bd243bd3ff0e10b2198109fa39
19376;ligand19183-0;C23H21N2P;1;{'Pd': ['HURKUB-subgraph-1']};{'HURKUB-subgraph-1': [[0], [24]]};P(c1c(c([H])c(c(c1[H])[H])[H])n1nc(c(c1C([H])([H])[H])[H])C([H])([H])[H])(c1c([H])c(c(c(c1[H])[H])[H])[H])c1c([H])c([H])c(c(c1[H])[H])[H];[[0], [12]];ebc146185efcf1c4e5e3e4cb600e594c
19377;ligand19184-0;C17H19N2O;1;{'Ni': ['ZISVEG-subgraph-0']};{'ZISVEG-subgraph-0': [[0], [10], [24]]};[O]c1c(c2c(c([H])c(c(c2c(c1[H])[H])[H])[H])[H])/C(=N/C([H])([H])[C@]1(N([H])C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])[H])/[H];[[0], [18], [23]];d56ba250ec6c0be1e5ce7832f65689d9
19378;ligand19185-0;C30H39N4;1;{'Mo': ['BINFAH-subgraph-0']};{'BINFAH-subgraph-0': [[2], [19], [35], [38]]};c1(c([H])c(C([H])([H])[H])c(c(c1[H])C([H])([H])[H])[H])[N]C([H])([H])C(N(C([H])([H])C([H])([H])[N]c1c([H])c(C([H])([H])[H])c(c(c1[H])C([H])([H])[H])[H])C([H])([H])C([H])([H])[N]c1c([H])c(C([H])([H])[H])c(c(c1[H])C([H])([H])[H])[H])([H])[H];[[17], [22], [29], [53]];ab53bed105551f55b1ba12b4d5ee8163
19379;ligand19186-0;C13H12N2O;2;{'Ru': ['SIMPUB-subgraph-0', 'SIMPOV-subgraph-2']};{'SIMPUB-subgraph-0': [[0]], 'SIMPOV-subgraph-2': [[24]]};N(c1c(c(c(c(c1[H])[H])C(=O)N(c1c([H])c([H])c(c(c1[H])[H])[H])[H])[H])[H])([H])[H];[[0]];d9683b4aaadbd98ebc6180dcff5d16a2
19380;ligand19187-0;C13H12N4;1;{'Mn': ['EWUQEU-subgraph-1']};{'EWUQEU-subgraph-1': [[1], [17]]};N1([C]N(c2c1c([H])c([H])c(c2[H])[H])c1nc([H])c(c(n1)[H])[H])C(C([H])([H])[H])([H])[H];[[1], [14]];0235ef681b07310041d9fb6338b9a722
19381;ligand19188-0;C23H29NO2;1;{'W': ['NODKOG-subgraph-5']};{'NODKOG-subgraph-5': [[8]]};C([H])([H])([H])C([H])(O[C]/C(=C(\[C]([H])[C](N1C([H])([H])C([H])([H])OC(C1([H])[H])([H])[H])C1=C([H])C([H])(C(C(C1([H])[H])([H])[H])([H])[H])[H])/c1c([H])c([H])c(c(c1[H])[H])[H])/[H])[H];[[7]];bffcd931b67eb0b48e67e4190a8b1ccd
19382;ligand19189-0;C11H27P2Si2;1;{'Mo': ['CAQBUS-subgraph-0']};{'CAQBUS-subgraph-0': [[0, 1, 2]]};[P]([P]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[C]([Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H];[[0, 1, 15]];a682781377d418a41cc40344c053cc18
19383;ligand19190-0;C17H22N4;1;{'Zn': ['MULBAX-subgraph-1']};{'MULBAX-subgraph-1': [[0], [15], [26], [35]]};n1c(c([H])c(c(c1C1(C([H])(N(C1([H])[H])C([H])([H])C(N(C([H])([H])c1c([H])c(c(c(n1)[H])[H])[H])[H])([H])[H])[H])C([H])([H])[H])[H])[H])[H];[[0], [10], [18], [28]];52e85bef134dd906408d16de59ed53f7
19384;ligand19191-0;C14H15N4;1;{'Ni': ['EQUROA-subgraph-0']};{'EQUROA-subgraph-0': [[0], [8]]};[C]1N(C(=C(N1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[H])C1=Nc2c([N]1)c(c(c(c2[H])[H])[H])[H];[[0], [21]];deba5a9713b2d69d540950c43595ffeb
19385;ligand19192-0;C2H4NS;2;{'Re': ['GAPCIN-subgraph-1'], 'Ru': ['TASMAD-subgraph-0']};{'GAPCIN-subgraph-1': [[0], [6]], 'TASMAD-subgraph-0': [[0], [7]]};[N]C([H])([H])C([H])([S])[H];[[0], [6]];1cd0ec34e43e57b4550caa87b812b113
19386;ligand19193-0;C3H8OS;2;{'Pd': ['FEXDER-subgraph-2'], 'Au': ['BEFFOI-subgraph-0']};{'FEXDER-subgraph-2': [[3]], 'BEFFOI-subgraph-0': [[4]]};S(C([H])([H])[H])(C([H])([H])[H])([C]([H])[H])[O];[[9]];25d2d18ee57dc815d73414871fa0cabc
19387;ligand19194-0;C10H8N2;4;{'Pt': ['ZIQCOV-subgraph-1', 'QURSED-subgraph-1', 'BEZNEA-subgraph-1', 'QURSAZ-subgraph-1']};{'ZIQCOV-subgraph-1': [[0], [10]], 'BEZNEA-subgraph-1': [[0], [10]], 'QURSED-subgraph-1': [[0], [10]], 'QURSAZ-subgraph-1': [[0], [9]]};n1c(c(c(c(c1N1[C](C(=C(C(=[C]1)[H])[H])[H])[H])[H])[H])[H])[H];[[0], [11]];cf1ba9282e0392bd9398b7e9e2bd0401
19388;ligand19195-0;C5H7O;1;{'Ir': ['ZIQJAK-subgraph-3']};{'ZIQJAK-subgraph-3': [[5], [7]]};[H]C([H])(C(=O)/C(=[C]/C([H])([H])[H])/[H])[H];[[4], [6]];a85bfb9d06b2c8ddf42b7dbea3deee80
19389;ligand19196-0;C7H9N2;1;{'Ni': ['YEHMAZ-subgraph-0', 'YEHMAZ-subgraph-1']};{'YEHMAZ-subgraph-0': [[0], [8]], 'YEHMAZ-subgraph-1': [[5], [8]]};N1=C([H])C(=C([C]1/C(=N/C([H])([H])[H])/C([H])([H])[H])[H])[H];[[0], [7]];6b07d9ceaa39f1a3c5f06eb31779fc0f
